nconst,primaryName
nm0000114,Steve Buscemi
nm0000154,Mel Gibson
nm0000335,Glenn Close
nm0000353,Willem Dafoe
nm0000376,Fran Drescher
nm0000391,Rupert Everett
nm0000409,Brendan Fraser
nm0000410,Stephen Fry
nm0000514,Michael Madsen
nm0000566,Julia Ormond
nm0000579,Ron Perlman
nm0000598,Dennis Quaid
nm0000616,Eric Roberts
nm0000662,Kiefer Sutherland
nm0000693,Peter Weller
nm0000962,Carole Bouquet
nm0000982,Josh Brolin
nm0001057,Toni Collette
nm0001238,Jesús Franco
nm0001314,John Hannah
nm0001376,Isabelle Huppert
nm0001394,Derek Jacobi
nm0001621,Bronson Pinchot
nm0001826,M. Emmet Walsh
nm0001841,George Wendt
nm0001848,Dianne Wiest
nm0001860,Alicia Witt
nm0001882,Olivia d'Abo
nm0002010,Christian Clavier
nm0002019,Kevin Corcoran
nm0002332,Stephen Lang
nm0002350,Jim Meskimen
nm0002517,Lee Purcell
nm0004365,Fred Williamson
nm0004380,Antoine de Caunes
nm0004469,Kota Srinivasa Rao
nm0004739,Lauralee Bell
nm0004800,Jessica Capshaw
nm0004801,Nestor Carbonell
nm0004904,Angie Everhart
nm0004920,Frances Fisher
nm0004937,Jamie Foxx
nm0004979,David Alan Grier
nm0005218,Tim Meadows
nm0005234,Donna Mills
nm0005450,David Spade
nm0005522,Mario Van Peebles
nm0006669,William Sadler
nm0007342,Lee Aaker
nm0008014,Marc Abbott
nm0008090,Dino Abbrescia
nm0008288,Liza Abdullah
nm0008713,Abhimanyu Singh
nm0011589,Amanda Aday
nm0013793,Marvin Agustin
nm0015145,Halit Akçatepe
nm0016941,Ingo Albrecht
nm0019027,Hans Jürgen Alf
nm0019815,Selda Alkor
nm0020739,Krista Allen
nm0021607,Corbin Allred
nm0023697,Nuri Alço
nm0025193,Raouf Ben Amor
nm0027558,Virginia Anderson
nm0029771,Zsolt Anger
nm0031844,Takeshi Aono
nm0032737,Carlos Aragón
nm0033152,Arata Iura
nm0033843,John Arcilla
nm0033892,Ataíde Arcoverde
nm0035082,Murat Arkin
nm0038351,Mayumi Asano
nm0039596,Ashokan
nm0039604,Yumi Asô
nm0041300,Jean-Louis Aubert
nm0043268,Tom Avni
nm0046277,Bae Doona
nm0046541,Larry Bagby
nm0046619,Anders Baggesen
nm0047409,Melissa Jo Bailey
nm0047987,Ning Baizura
nm0052621,Uttara Baokar
nm0056271,Lynda Baron
nm0057776,Nerea Barros
nm0057843,Emmanuel Barrouyer
nm0059461,Sunil Barve
nm0062098,Henning Baum
nm0062568,Rizabawa
nm0067972,Mariya Belkina
nm0069580,Cathy Belton
nm0069871,Rabiah Ben-Abdullah
nm0070571,Camilla Bendix
nm0076482,Stefano Bernardin
nm0078074,Louis Bertignac
nm0079451,Nigel Betts
nm0080248,Santhana Bharathi
nm0080438,Sudha Bhuchar
nm0081070,Andrew Bicknell
nm0084241,Claudio Bisio
nm0084270,Angelo Bison
nm0086301,Macon Blair
nm0090487,Mahulena Bocanová
nm0092118,Bruce Bohne
nm0092314,Ole Boisen
nm0093872,Jerzy Bonczak
nm0098573,Rasmus Botoft
nm0099560,Max H. Boulois
nm0099561,Susy Boulois
nm0101400,Stuart Bowman
nm0105984,Elsie de Brauw
nm0107165,Alex Brendemühl
nm0107792,Alessandro Bressanello
nm0108431,Nicolas Briançon
nm0108637,Jon Briddell
nm0110336,Vigga Bro
nm0116373,Edo Brunner
nm0117937,Martin Buch
nm0119513,Paolo Buglioni
nm0119870,Reinier Bulder
nm0122834,Paul E. Burns
nm0123699,Robert Burton
nm0126744,Christian Bégin
nm0127656,Antônio do Cabo
nm0130429,Luis Callejo
nm0131254,Jairo Camargo
nm0135584,Francis Capra
nm0138120,Ralph Carlsson
nm0139528,Renato Carpentieri
nm0142790,Mela Casal
nm0143743,Stefania Casini
nm0144812,Sergio Castellitto
nm0149260,Alain Chabat
nm0149826,Shankar Chakraborty
nm0149867,Chalapathi Rao
nm0155693,Kristin Chenoweth
nm0155888,Arie Tcherner
nm0156495,Tai-Bo
nm0156660,Martine Chevallier
nm0156955,David Chiang
nm0157131,Saeko Chiba
nm0157133,Shigeru Chiba
nm0158253,Matthew Chisholm
nm0158320,Claire Chitham
nm0163060,Eva Cízkovská
nm0168036,Marcel Cobzariu
nm0172862,Jason Paul Collum
nm0173511,Roger Coma
nm0180336,Ron Cornet
nm0184392,Martin Kove
nm0190214,Luciano Cruz-Coke
nm0193846,Elisha Cuthbert
nm0194099,Ana Cuéllar
nm0194152,Zrinka Cvitešić
nm0194662,Clémentine Célarié
nm0196185,Craig muMs Grant
nm0200702,Dany Boon
nm0201462,Gérard Darmon
nm0202804,Alan David
nm0204599,Faye Davis
nm0210855,Vincent Duvall-DePasquale
nm0211140,Sven De Ridder
nm0212541,Dipankar Dey
nm0214358,Deepshikha Nagpal
nm0216117,Pawel Delag
nm0217022,Marissa Delgado
nm0217984,Marya Delver
nm0221218,Makrand Deshpande
nm0222181,Devan
nm0226770,Dileep
nm0227498,Ismail Din
nm0227759,Peter Dinklage
nm0228878,Joe Dixon
nm0229585,Diana Dobbelman
nm0230483,Dana Dogaru
nm0230698,Osvaldo Doimeadiós
nm0233145,Alison Doody
nm0236816,Joséphine Draï
nm0238475,Léa Drucker
nm0241039,Claude Duhamel
nm0241049,Josh Duhamel
nm0243620,Philippe Duquesne
nm0244624,Andrey Dushechkin
nm0244756,Richard Dutcher
nm0250945,Sien Eggers
nm0253216,Karra Elejalde
nm0256364,Robert Emhardt
nm0256890,Lena Endre
nm0257826,Köksal Engür
nm0257917,Alfred Enoch
nm0257934,Takaaki Enoki
nm0259462,Siw Erixon
nm0259708,Kajsa Ernst
nm0262026,Eric Etebari
nm0263209,Serena Evans
nm0264776,Valeria Fabrizi
nm0266046,Antônio Carlos Falcão
nm0266723,Daniel Fanego
nm0268317,Richard Farrell
nm0269077,James Faulkner
nm0269800,Erra Fazira
nm0275637,Danielle Fichaud
nm0277932,Herman Finkers
nm0283556,Michael Flynn
nm0289105,Kirk Fox
nm0289114,Laurence Fox
nm0291404,Diane Franklin
nm0291731,Koen Franse
nm0292708,Gunnel Fred
nm0293444,Joan Freeman
nm0295141,Andrea F. Friedman
nm0295393,Vladimir Friedman
nm0295429,Georg Friedrich
nm0295568,Annette Frier
nm0295704,Gustavo Frigerio
nm0297149,Jun Fubuki
nm0297552,María Rosa Fugazot
nm0300712,Jim Gaffigan
nm0302466,Patrick Gallagher
nm0302916,Guillaume Gallienne
