nconst,primaryName
nm0001206,Abel Ferrara
nm0001238,Jesús Franco
nm0027948,Roberto Andò
nm0037576,Yilmaz Arslan
nm0038811,Eugene Ashe
nm0038896,Rodney Ascher
nm0052054,Anders Banke
nm0059924,K.M. Basker
nm0072985,Barbara Bentree
nm0080387,Sumitra Bhave
nm0091336,Theu Boermans
nm0110292,Fausto Brizzi
nm0113845,Jim Brown
nm0131064,Art Camacho
nm0134682,Steven Cantor
nm0151535,T.V. Chandran
nm0155244,Xuejie Chen
nm0169214,Andy Cohen
nm0179030,Fabrizio Corallo
nm0191258,Robert Cuffley
nm0192053,Jeremy Cumpston
nm0192394,Matt Cunningham
nm0208862,Robbe De Hert
nm0236226,Michael Dowse
nm0261629,Danishka Esterhazy
nm0284774,Anne Fontaine
nm0292661,José Frazão
nm0304541,Dennis Gansel
nm0330347,Josh Gordon
nm0333241,David Grabias
nm0346069,Otto Guerra
nm0349702,Bill Guttentag
nm0408098,Tetsuo Imazawa
nm0412915,Aziz Jaafar
nm0419494,Jose Javier Reyes
nm0421559,Kim Hagen Jensen
nm0423167,Fereydoun Jeyrani
nm0430485,Lal Jose
nm0442227,Mikhail Kaufman
nm0453262,Jaak Kilmi
nm0459732,Mårten Klingberg
nm0464815,Kazuya Konaka
nm0464880,Dada Kondke
nm0474955,Roger Kumble
nm0489309,Éric Lartigau
nm0490396,Claudio Lattanzi
nm0519983,Jerry Lopez Sineneng
nm0523665,Sergey Loznitsa
nm0524516,Daniele Luchetti
nm0525495,Damir Lukacevic
nm0528186,Euros Lyn
nm0528508,Laurie Lynd
nm0539034,Sibi Malayil
nm0539354,Robert Malenfant
nm0550881,Frank Marshall
nm0551506,Lucrecia Martel
nm0563848,Bill McAdams Jr.
nm0584439,Mark Allen Michaels
nm0590991,Igor Minaiev
nm0591499,Rick Minnich
nm0605137,Brett Morgen
nm0620378,Hideo Nakata
nm0624809,James Neilson
nm0627318,Maartje Nevejan
nm0631590,Johan Nijenhuis
nm0650378,Jean-Nicolas Orhon
nm0652213,Luis Ospina
nm0658482,Tony Palmer
nm0666806,Don Michael Paul
nm0698489,Jeff Profitt
nm0705813,Goran Radovanovic
nm0725526,Ronnie Ricketts
nm0728261,Rishi
nm0733263,Adam Robitel
nm0739287,Derby Romero
nm0743417,Gaylen Ross
nm0743916,Warwick Ross
nm0755788,Reza Safai
nm0755805,Letif Safarov
nm0764367,Roberto Santucci
nm0770643,John Scheinfeld
nm0771953,Nadav Schirman
nm0794048,Akihiko Shiota
nm0796159,Nikki Si'ulepa
nm0812850,Giancarlo Soldi
nm0817447,Will Speck
nm0819810,Annie Sprinkle
nm0825671,Matt Steinauer
nm0837149,S. Sudarmaji
nm0837788,Sunil Sukthankar
nm0839008,Zhou Sun
nm0840690,Takuji Suzuki
nm0845417,Vladimír Sís
nm0849465,Gorô Taniguchi
nm0854853,Joona Tena
nm0871456,Joey Travolta
nm0873488,Harold Trompetero
nm0890060,Ram Gopal Varma
nm0895849,Stefano Vicario
nm0898524,Vinayan
nm0910951,Jixing Wang
nm0911002,Paul Wang
nm0925870,John Whitesell
nm0932216,Nick Willing
nm0946019,Li-chou Yang
nm0960025,Kentarô Ohtani
nm0994435,Tetsuya Takahashi
nm0997990,Thomas Edward Seymour
nm10091596,Kevin Jimenez Bernal
nm10182900,Glb Srinivas
nm1033328,Nosratolah Vahdat
nm10467223,Jason Cunningham
nm10498171,Dante Alencastre
nm10498667,Susiran De Silva
nm10498955,Sidse Torstholm Larsen
nm10498956,Sturla Pilskog
nm10500453,Aimi Natsuto
nm10503027,Jian Li
nm10503166,Rohit Chavan
nm10504449,Máximo Ciambella
nm10504450,Damián Coluccio
nm10504675,Shashank Raai
nm10505695,Alina Chevik
nm10506270,Yadang Liu
nm10507003,Mohamad Shaffraz
nm10507155,Willem Aerts
nm10508359,Viktoria Fanasiutina
nm10509113,Ali Ebrahimi
nm10509355,Anna Migotto
nm10509644,Tim Dahlseid
nm10512337,Michael Rozek
nm10512656,Michelle Chen Miao
nm10513060,Nadezhda Yumshanova
nm10513142,Ida Persson Lännerberg
nm10513748,Hussein Alansari
nm10514359,Steve Noir
nm10514492,Rahul Kumar Shukla
nm10514802,Stéfanne Prijot
nm10516211,Majdi Lakhdar
nm10516768,Hasan Qureshi
nm10516928,Michael Atkinson
nm10517485,Tom Jones
nm10518948,Carlo Bath
nm10519174,Vinsent Mettel
nm10520122,Jarleo Barbosa
nm10521461,Snehajith
nm10521526,Shabeer Yena
nm10521830,Mariagrazia Contini
nm10521954,Santos Babu Lohani
nm10522300,Pitzi Kampouroglou
nm10523704,Goran Pavisic
nm10524771,Qia Li
nm10525056,Vinoda Kumar
nm10525245,Ajay Phansalkar
nm10525745,Wu Lixiao
nm10525865,Jingjing Lou
nm10526485,Guillem Gallego
nm10526957,Karthik Medikonda
nm10526964,Chadalavada Srinivasa Rao
nm10526983,Sampath Rudra
nm10527005,Rums
