tconst,averageRating
tt9826992,6.1
tt9827314,8.8
tt9827338,7.4
tt9827352,7.8
tt9827784,6.7
tt9827834,6.8
tt9827998,3.9
tt9828254,5.0
tt9828278,7.6
tt9828464,5.2
tt9828802,5.9
tt9828814,6.0
tt9828864,5.9
tt9828918,6.0
tt9829090,7.2
tt9829092,7.4
tt9829108,5.0
tt9829324,6.5
tt9829966,7.4
tt9830138,7.0
tt9831136,5.1
tt9831814,6.8
tt9832110,6.7
tt9832396,6.9
tt9832510,6.9
tt9832684,7.0
tt9833068,9.2
tt9833226,5.5
tt9833308,4.2
tt9833362,7.8
tt9833886,5.0
tt9834062,7.1
tt9834492,6.4
tt9834506,5.5
tt9834736,5.0
tt9834798,6.5
tt9837320,6.3
tt9837502,5.1
tt9837530,6.3
tt9837672,7.0
tt9838252,6.0
tt9838364,7.3
tt9838372,5.1
tt9838378,5.8
tt9838412,5.5
tt9838414,5.0
tt9838656,6.5
tt9838780,8.7
tt9838980,5.3
tt9839008,9.0
tt9839038,6.2
tt9839040,3.5
tt9839380,7.2
tt9839636,5.7
tt9839670,6.2
tt9839686,6.6
tt9840382,6.0
tt9840958,3.8
tt9841750,6.7
tt9841876,8.6
tt9842404,5.3
tt9842544,4.8
tt9842678,8.2
tt9842740,7.0
tt9842872,8.3
tt9842874,4.4
tt9842918,8.2
tt9843292,7.5
tt9843390,4.1
tt9843402,6.8
tt9843470,5.8
tt9843632,5.8
tt9843984,8.1
tt9844004,6.6
tt9844062,5.8
tt9844102,4.8
tt9844256,7.5
tt9844322,6.1
tt9844358,4.9
tt9844368,4.6
tt9844448,7.6
tt9844522,5.8
tt9844650,4.0
tt9844864,5.9
tt9844890,5.9
tt9844892,7.6
tt9844938,7.2
tt9844944,6.9
tt9845012,7.5
tt9845036,6.7
tt9845110,7.2
tt9845398,6.8
tt9845564,6.2
tt9846030,5.6
tt9846154,4.0
tt9846650,7.1
tt9846692,8.6
tt9846922,6.8
tt9847360,5.2
tt9847482,8.0
tt9848092,6.3
tt9848124,5.2
tt9848382,4.2
tt9848404,4.8
tt9848626,6.0
tt9848668,7.5
tt9848724,8.4
tt9848804,4.6
tt9848946,6.2
tt9848962,6.6
tt9848968,6.1
tt9848972,8.0
tt9848990,7.9
tt9849004,5.3
tt9849122,6.9
tt9849176,6.1
tt9849230,5.1
tt9849402,7.2
tt9849644,6.5
tt9849964,6.6
tt9850050,6.2
tt9850064,6.5
tt9850116,5.4
tt9850264,7.5
tt9850344,5.4
tt9850370,6.6
tt9850386,8.1
tt9850388,8.3
tt9850488,6.8
tt9850492,7.7
tt9850646,5.9
tt9850740,6.1
tt9851050,4.8
tt9851854,8.1
tt9852644,6.9
tt9853118,7.8
tt9853264,6.2
tt9853488,5.5
tt9853500,6.4
tt9853632,7.1
tt9853664,6.2
tt9853686,6.4
tt9853814,6.5
tt9853992,8.0
tt9854058,5.9
tt9854638,3.3
tt9854782,6.0
tt9854844,6.0
tt9854992,6.8
tt9855170,6.4
tt9855210,7.5
tt9855214,5.1
tt9855500,4.4
tt9855510,7.4
tt9855672,6.6
tt9855728,6.0
tt9855792,7.4
tt9855978,6.0
tt9855990,5.0
tt9856064,5.8
tt9856352,5.6
tt9856438,7.0
tt9856574,3.2
tt9856606,6.1
tt9856680,6.9
tt9857170,6.0
tt9857480,7.0
tt9857522,7.5
tt9857850,4.5
tt9858456,9.2
tt9858794,4.8
tt9858942,6.4
tt9859372,8.9
tt9859504,5.5
tt9859510,7.2
tt9859574,6.6
tt9859758,5.0
tt9859786,8.5
tt9859814,7.4
tt9859960,7.5
tt9860350,7.4
tt9860566,5.4
tt9860728,5.7
tt9860834,8.5
tt9860858,6.7
